country_or_area,year,commodity,flow,trade_usd
China,2016,"Animals, live, except farm animals",Import,87264965
China,2016,"Animals, live, except farm animals",Export,55747455
China,2015,"Animals, live, except farm animals",Import,83102354
China,2015,"Animals, live, except farm animals",Export,37526715
China,2014,"Animals, live, except farm animals",Import,118595882
China,2014,"Animals, live, except farm animals",Export,47363265
China,2013,"Animals, live, except farm animals",Import,47181790
China,2013,"Animals, live, except farm animals",Export,31694658
China,2012,"Animals, live, except farm animals",Import,30918714
China,2012,"Animals, live, except farm animals",Export,31546988
China,2011,"Animals, live, except farm animals",Export,36130253
China,2011,"Animals, live, except farm animals",Import,32065852
France,2016,"Animals, live, except farm animals",Export,70420153
France,2016,"Animals, live, except farm animals",Import,49110906
France,2015,"Animals, live, except farm animals",Export,72460202
France,2015,"Animals, live, except farm animals",Import,46442214
France,2014,"Animals, live, except farm animals",Export,76968063
France,2014,"Animals, live, except farm animals",Import,56770365
France,2013,"Animals, live, except farm animals",Import,57291921
France,2013,"Animals, live, except farm animals",Export,73683421
France,2012,"Animals, live, except farm animals",Export,62994210
France,2012,"Animals, live, except farm animals",Import,56120896
France,2011,"Animals, live, except farm animals",Export,69845642
France,2011,"Animals, live, except farm animals",Import,63415481
Germany,2016,"Animals, live, except farm animals",Export,36878538
Germany,2016,"Animals, live, except farm animals",Import,45570551
Germany,2015,"Animals, live, except farm animals",Export,33167843
Germany,2015,"Animals, live, except farm animals",Import,47410710
Germany,2014,"Animals, live, except farm animals",Export,32637385
Germany,2014,"Animals, live, except farm animals",Import,47688776
Germany,2013,"Animals, live, except farm animals",Import,39121588
Germany,2013,"Animals, live, except farm animals",Export,31472018
Germany,2012,"Animals, live, except farm animals",Import,34800595
Germany,2012,"Animals, live, except farm animals",Export,32474154
Germany,2011,"Animals, live, except farm animals",Export,34242323
Germany,2011,"Animals, live, except farm animals",Import,39706503
India,2016,"Animals, live, except farm animals",Export,159561
India,2016,"Animals, live, except farm animals",Import,3158547
India,2015,"Animals, live, except farm animals",Export,38075
India,2015,"Animals, live, except farm animals",Import,3436635
India,2014,"Animals, live, except farm animals",Export,103962
India,2014,"Animals, live, except farm animals",Import,3935697
India,2013,"Animals, live, except farm animals",Export,324699
India,2013,"Animals, live, except farm animals",Import,4356971
India,2012,"Animals, live, except farm animals",Export,147203
India,2012,"Animals, live, except farm animals",Import,4360317
India,2011,"Animals, live, except farm animals",Export,149875
India,2011,"Animals, live, except farm animals",Import,3453287
Iran,2011,"Animals, live, except farm animals",Export,1170818
Iran,2011,"Animals, live, except farm animals",Import,636492
Japan,2016,"Animals, live, except farm animals",Export,9988223
Japan,2016,"Animals, live, except farm animals",Import,39441252
Japan,2015,"Animals, live, except farm animals",Export,9391978
Japan,2015,"Animals, live, except farm animals",Import,37445705
Japan,2014,"Animals, live, except farm animals",Export,9436843
Japan,2014,"Animals, live, except farm animals",Import,42051609
Japan,2013,"Animals, live, except farm animals",Import,40501931
Japan,2013,"Animals, live, except farm animals",Export,9682778
Japan,2012,"Animals, live, except farm animals",Export,8886029
Japan,2012,"Animals, live, except farm animals",Import,39212730
Japan,2011,"Animals, live, except farm animals",Import,44047446
Japan,2011,"Animals, live, except farm animals",Export,9110491
Netherlands,2016,"Animals, live, except farm animals",Export,138779599
Netherlands,2016,"Animals, live, except farm animals",Import,43896645
Netherlands,2015,"Animals, live, except farm animals",Export,123643597
Netherlands,2015,"Animals, live, except farm animals",Import,46899626
Netherlands,2014,"Animals, live, except farm animals",Import,71466910
Netherlands,2014,"Animals, live, except farm animals",Export,121626807
Netherlands,2013,"Animals, live, except farm animals",Import,74663108
Netherlands,2013,"Animals, live, except farm animals",Export,138996031
Netherlands,2012,"Animals, live, except farm animals",Export,150430669
Netherlands,2012,"Animals, live, except farm animals",Import,46211591
Netherlands,2011,"Animals, live, except farm animals",Import,54326647
Netherlands,2011,"Animals, live, except farm animals",Export,141656641
New Zealand,2016,"Animals, live, except farm animals",Export,2934347
New Zealand,2016,"Animals, live, except farm animals",Import,1391796
New Zealand,2015,"Animals, live, except farm animals",Export,3681561
New Zealand,2015,"Animals, live, except farm animals",Import,929560
New Zealand,2014,"Animals, live, except farm animals",Import,1241166
New Zealand,2014,"Animals, live, except farm animals",Export,4336146
New Zealand,2013,"Animals, live, except farm animals",Export,4313500
New Zealand,2013,"Animals, live, except farm animals",Import,1539869
New Zealand,2012,"Animals, live, except farm animals",Export,3731827
New Zealand,2012,"Animals, live, except farm animals",Import,1137001
New Zealand,2011,"Animals, live, except farm animals",Export,5118061
New Zealand,2011,"Animals, live, except farm animals",Import,800204
Singapore,2016,"Animals, live, except farm animals",Export,3980033
Singapore,2016,"Animals, live, except farm animals",Import,7660502
Singapore,2015,"Animals, live, except farm animals",Export,2177740
Singapore,2015,"Animals, live, except farm animals",Import,8058434
Singapore,2014,"Animals, live, except farm animals",Import,10108331
Singapore,2014,"Animals, live, except farm animals",Export,2334357
Singapore,2013,"Animals, live, except farm animals",Export,2260765
Singapore,2013,"Animals, live, except farm animals",Import,9646105
Singapore,2012,"Animals, live, except farm animals",Export,1580072
Singapore,2012,"Animals, live, except farm animals",Import,13779603
Singapore,2011,"Animals, live, except farm animals",Export,1732948
Singapore,2011,"Animals, live, except farm animals",Import,10887630
United Arab Emirates,2016,"Animals, live, except farm animals",Import,77576430
United Arab Emirates,2016,"Animals, live, except farm animals",Export,23048249
United Arab Emirates,2015,"Animals, live, except farm animals",Import,72596018
United Arab Emirates,2015,"Animals, live, except farm animals",Export,28834307
United Arab Emirates,2014,"Animals, live, except farm animals",Export,26432337
United Arab Emirates,2014,"Animals, live, except farm animals",Import,90896990
United Arab Emirates,2013,"Animals, live, except farm animals",Import,92607079
United Arab Emirates,2013,"Animals, live, except farm animals",Export,23547233
United Arab Emirates,2012,"Animals, live, except farm animals",Import,61571582
United Arab Emirates,2012,"Animals, live, except farm animals",Export,15075962
USA,2016,"Animals, live, except farm animals",Export,91238486
USA,2016,"Animals, live, except farm animals",Import,190187901
USA,2015,"Animals, live, except farm animals",Export,93719234
USA,2015,"Animals, live, except farm animals",Import,167632224
USA,2014,"Animals, live, except farm animals",Export,93013457
USA,2014,"Animals, live, except farm animals",Import,171521791
USA,2013,"Animals, live, except farm animals",Export,88241140
USA,2013,"Animals, live, except farm animals",Import,146361307
USA,2012,"Animals, live, except farm animals",Export,85614967
USA,2012,"Animals, live, except farm animals",Import,142027388
USA,2011,"Animals, live, except farm animals",Export,81453255
USA,2011,"Animals, live, except farm animals",Import,134334698
China,2016,"Fish live, except trout, eel or carp",Export,292834238
China,2016,"Fish live, except trout, eel or carp",Import,54153897
China,2016,"Fish nes, fresh or chilled, whole",Import,30780246
China,2016,"Fish nes, fresh or chilled, whole",Export,137309245
China,2016,"Fish livers and roes, fresh or chilled",Export,32558660
China,2016,"Fish livers and roes, frozen",Import,57458406
China,2016,"Fish livers and roes, frozen",Export,25785284
China,2016,"Fish meat & mince, except liver, roe & fillets, froze",Import,74120354
China,2016,"Fish meat & mince, except liver, roe & fillets, froze",Export,368029423
China,2016,"Fish nes, salted or in brine, not dried or smoked",Import,1009389
China,2016,"Fish nes, salted or in brine, not dried or smoked",Export,20362982
China,2016,"Rock lobster and other sea crawfish, frozen",Import,20856505
China,2016,"Rock lobster and other sea crawfish, frozen",Export,2072679
China,2016,Rock lobster and other sea crawfish not frozen,Import,385351969
China,2016,Rock lobster and other sea crawfish not frozen,Export,3296052
China,2015,"Fish live, except trout, eel or carp",Export,291621142
China,2015,"Fish live, except trout, eel or carp",Import,50314502
China,2015,"Fish nes, fresh or chilled, whole",Import,22452246
China,2015,"Fish nes, fresh or chilled, whole",Export,131880264
China,2015,"Fish livers and roes, fresh or chilled",Export,16798935
China,2015,"Fish livers and roes, frozen",Import,54217687
China,2015,"Fish livers and roes, frozen",Export,22893792
China,2015,"Fish meat & mince, except liver, roe & fillets, froze",Import,73650593
China,2015,"Fish meat & mince, except liver, roe & fillets, froze",Export,298093403
China,2015,"Fish nes, salted or in brine, not dried or smoked",Import,810104
China,2015,"Fish nes, salted or in brine, not dried or smoked",Export,15656343
China,2015,"Rock lobster and other sea crawfish, frozen",Import,14364605
China,2015,"Rock lobster and other sea crawfish, frozen",Export,2302997
China,2015,Rock lobster and other sea crawfish not frozen,Import,342494840
China,2015,Rock lobster and other sea crawfish not frozen,Export,34624
China,2014,"Fish live, except trout, eel or carp",Export,313222989
China,2014,"Fish live, except trout, eel or carp",Import,61868372
